name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Stone Circle At Ngr Sj 2804 3635","stone-circle-at-ngr-sj-2804-3635","stone circle",52.91972945,-3.071710611,"United Kingdom",no,""
"Cylch Cerrig Penbedw","cylch-cerrig-penbedw","stone circle",53.201992,-3.2424812,"United Kingdom",no,""
"Jämjö 7:1","jamjo-7-1","stone circle",56.190004,15.814749,"Sweden",no,""
"Old Keig","old-keig","stone circle",57.26341,-2.6704827,"United Kingdom",yes,""
"Mull, Glengorm, stone circle","mull-glengorm-stone-circle","stone circle",56.635495,-6.185019,"United Kingdom",no,""
"Reenkilla stone circle","reenkilla-stone-circle","stone circle",51.760693,-9.785005,"Ireland",no,""
"Ferntower stone circle","ferntower-stone-circle","stone circle",56.382483,-3.824951,"United Kingdom",yes,""
"Stone circle on Ash Cabin Flat, 560m north east of Reservoir Cottages","stone-circle-on-ash-cabin-flat-560m-north-east-of-reservoir-cottages","stone circle",53.3724,-1.59669,"United Kingdom",no,""
"The Seven Stones","the-seven-stones","stone circle",50.664048,-3.312091,"United Kingdom",yes,""
"Bryn Derwydd stone circle","bryn-derwydd-stone-circle","stone circle",53.257308,-3.9018564,"United Kingdom",no,""
"Llecheiddior Stone Circle","llecheiddior-stone-circle","stone circle",52.775431,-4.059813,"United Kingdom",no,""
"Endre 35:1","endre-35-1","stone circle",57.622307,18.386793,"Sweden",yes,""
"Eskelhem 30:1","eskelhem-30-1","stone circle",57.509297,18.209406,"Sweden",no,""
"Borgholm 1:1","borgholm-1-1","stone circle",56.874674,16.673961,"Sweden",yes,""
"Kalmar 10:3","kalmar-10-3","stone circle",56.680604,16.318543,"Sweden",yes,""
"Kalmar 10:4","kalmar-10-4","stone circle",56.680565,16.318738,"Sweden",yes,""
"Gräberfeld_Alnaberget","graberfeld-alnaberget","stone circle",55.561645,14.132543,"Sweden",yes,""
"Larv 115:4","larv-115-4","stone circle",58.174437,13.22746,"Sweden",no,""
"Steinkreis von Lellingens","steinkreis-von-lellingens","stone circle",58.145625,13.344076,"Sweden",yes,""
"Cavaglià stone circle","cavaglia-stone-circle","stone circle",45.4091,8.0953,"Italy",yes,""
"Domarring von Slaka","domarring-von-slaka","stone circle",58.368086,15.560023,"Sweden",yes,""
"stone circle 280m SSW of Strontoiller","stone-circle-280m-ssw-of-strontoiller","stone circle",56.407947,-5.3943841,"United Kingdom",no,""
"ring cairn and stone circle 600m NNE of Mains of Daviot Farm","ring-cairn-and-stone-circle-600m-nne-of-mains-of-daviot-farm","stone circle",57.443194,-4.1220469,"United Kingdom",no,""
"stone circle & standing stones 270m to 425m ENE of Bandirran","stone-circle-standing-stones-270m-to-425m-ene-of-bandirran","stone circle",56.464439,-3.2851626,"United Kingdom",no,""
"stone circle 80m NNE of Nether Wheedlemont","stone-circle-80m-nne-of-nether-wheedlemont","stone circle",57.327048,-2.8659004,"United Kingdom",no,""
"Golspie-Lairg Road,stone circle 920m NW of Mound Junction","golspie-lairg-road-stone-circle-920m-nw-of-mound-junction","stone circle",57.963977,-4.0822124,"United Kingdom",no,""
"Castle Fraser,stone circle 775m W of & standing stones 550m W of","castle-fraser-stone-circle-775m-w-of-standing-stones-550m-w-of","stone circle",57.202711,-2.4733465,"United Kingdom",yes,""
